version,gender,month_age,mean_bal,standard_deviation_bal,mean_shh,standard_deviation_shh,mean_sws,standard_deviation_sws,mean_20m,standard_deviation_20m,mean_su,standard_deviation_su,mean_ls,standard_deviation_ls,mean_rb,standard_deviation_rb,mean_lauf,standard_deviation_lauf,mean_ball,standard_deviation_ball
for_germany_by_chinese_at_201509,MALE,90,24.75,9.08,18.77,5.087,123.06,19.7406,4.57,0.4689,19.34,6.692,10.02,3.4023,-2.06,6.3684,925.17,119.3513,13.1,3.8722
for_germany_by_chinese_at_201509,MALE,91,25.06,9.1,19.04,5.128,123.98,19.7627,4.56,0.4683,19.51,6.6937,10.07,3.4543,-2.05,6.3884,928.89,118.7285,13.26,3.8868
for_germany_by_chinese_at_201509,MALE,92,25.39,9.126,19.31,5.19,124.63,19.9189,4.55,0.47,19.67,6.7118,10.11,3.4367,-2.07,6.4299,932.71,119.6924,13.4,3.8532
for_germany_by_chinese_at_201509,MALE,93,25.73,9.069,19.56,5.28,125.45,20.0368,4.54,0.4696,19.83,6.6606,10.15,3.4314,-2.08,6.4541,936.31,120.0368,13.56,3.8816
for_germany_by_chinese_at_201509,MALE,94,26.05,9.098,19.81,5.324,126.16,20.2846,4.53,0.47,19.95,6.7001,10.21,3.4577,-2.03,6.4776,939.3,119.5007,13.7,3.8674
for_germany_by_chinese_at_201509,MALE,95,26.4,9.138,20.05,5.412,127.01,20.3075,4.52,0.4699,20.13,6.6198,10.24,3.4443,-2.01,6.4547,943.52,121.1939,13.86,3.883
for_germany_by_chinese_at_201509,MALE,96,26.87,9.144,20.32,5.466,127.66,20.3388,4.51,0.47,20.31,6.6805,10.3,3.4675,-2.02,6.4952,947,121.2315,13.99,3.854
for_germany_by_chinese_at_201509,MALE,97,27.02,9.074,20.55,5.538,128.41,20.6009,4.5,0.4691,20.49,6.6372,10.32,3.4395,-2.03,6.5155,950.9,121.5348,14.15,3.8782
for_germany_by_chinese_at_201509,MALE,98,27.17,9.189,20.82,5.604,129.24,20.7368,4.49,0.4579,20.61,6.5866,10.41,3.4032,-2.04,6.5489,954.26,121.6952,14.3,3.8453
for_germany_by_chinese_at_201509,MALE,99,27.32,9.097,21.03,5.706,129.95,20.8972,4.49,0.4585,20.81,6.58,10.41,3.4351,-2.03,6.5545,958.37,123.0392,14.45,3.8677
for_germany_by_chinese_at_201509,MALE,100,27.5,9.158,21.31,5.73,130.73,20.8795,4.48,0.4601,20.96,6.6023,10.49,3.4243,-2.04,6.6468,961.8,123.2854,14.58,3.8343
for_germany_by_chinese_at_201509,MALE,101,27.64,9.17,21.58,5.773,131.52,21.0293,4.47,0.4578,21.07,6.5711,10.52,3.4439,-2.07,6.6728,965.68,124.1583,14.73,3.8562
for_germany_by_chinese_at_201509,MALE,102,27.74,9.094,21.8,5.893,132.18,21.0847,4.46,0.3689,21.27,6.5691,10.56,3.4597,-2.05,6.6349,970.31,124.5332,14.86,3.8418
